Date,SPY
2000-11-30,129.75
2000-12-01,131.0
2000-12-04,131.5
2000-12-05,134.406204
2000-12-06,135.031204
2000-12-07,133.656204
2000-12-08,133.875
2000-12-11,136.718704
2000-12-12,137.375
2000-12-13,136.031204
2000-12-14,134.031204
2000-12-15,130.5625
2000-12-18,131.765594
2000-12-19,130.015594
2000-12-20,126.09369699999999
2000-12-21,125.53119699999999
2000-12-22,128.843704
2000-12-26,130.281204
2000-12-27,131.25
2000-12-28,132.593704
2000-12-29,131.1875
2001-01-02,127.5625
2001-01-03,127.65619699999999
2001-01-04,133.0
2001-01-05,129.1875
2001-01-08,127.6875
2001-01-09,129.421799
2001-01-10,128.8125
2001-01-11,131.093704
2001-01-12,131.281204
2001-01-16,131.515594
2001-01-17,132.640594
2001-01-18,132.9375
2001-01-19,133.875
2001-01-22,133.5625
2001-01-23,134.156204
2001-01-24,135.843704
2001-01-25,135.656204
2001-01-26,134.453094
2001-01-29,135.369995
2001-01-30,135.78999299999998
2001-01-31,136.600006
2001-02-01,136.25
2001-02-02,134.75
2001-02-05,134.75
2001-02-06,135.220001
2001-02-07,133.679993
2001-02-08,133.100006
2001-02-09,131.259995
2001-02-12,131.699997
2001-02-13,132.0
2001-02-14,130.66000400000001
2001-02-15,131.990005
2001-02-16,129.300003
2001-02-20,128.100006
2001-02-21,125.5
2001-02-22,123.019997
2001-02-23,121.800003
2001-02-26,124.5
2001-02-27,125.510002
2001-02-28,123.269997
2001-03-01,121.75
2001-03-02,122.300003
2001-03-05,123.809998
2001-03-06,125.489998
2001-03-07,125.760002
2001-03-08,126.139999
2001-03-09,123.110001
2001-03-12,117.75
2001-03-13,117.529999
2001-03-14,115.75
2001-03-15,117.360001
2001-03-16,114.809998
2001-03-19,114.82
2001-03-20,114.110001
2001-03-21,111.900002
2001-03-22,108.040001
2001-03-23,111.5
2001-03-26,114.769997
2001-03-27,115.279999
2001-03-28,114.900002
2001-03-29,112.139999
2001-03-30,114.5
2001-04-02,113.800003
2001-04-03,110.059998
2001-04-04,109.300003
2001-04-05,112.5
2001-04-06,112.059998
2001-04-09,112.779999
2001-04-10,115.16999799999999
2001-04-11,116.139999
2001-04-12,115.959999
2001-04-16,116.910004
2001-04-17,117.019997
2001-04-18,120.690002
2001-04-19,123.58000200000001
2001-04-20,123.660004
2001-04-23,121.910004
2001-04-24,121.099998
2001-04-25,120.949997
2001-04-26,123.5
2001-04-27,124.199997
2001-04-30,124.66999799999999
2001-05-01,124.599998
2001-05-02,126.0
2001-05-03,124.220001
2001-05-04,123.440002
